datetime,plant_no2,plant_n,rural_no2,rural_n,delta
2026-02-19 10:01:43+00:00,5.576484545599669e-05,1,2.937005592684727e-05,6,2.639478952914942e-05
2026-03-04 11:12:30.500000+00:00,0.0005515952943824232,4,2.9489490771084093e-05,14,0.0005221058036113391
2026-03-17 12:09:59.500000+00:00,7.021303463261575e-05,1,1.2177035387139767e-05,3,5.803599924547598e-05
2026-03-29 11:44:59.500000+00:00,,0,,0,
2026-04-12 10:34:38.500000+00:00,,0,2.4154927814379334e-05,5,
2026-04-29 11:59:33+00:00,0.00013243500143289566,1,3.16984805976972e-05,6,0.00010073652083519846
